epoch,loss_box,loss_obj,loss_cls,loss_total,mAP50,mAP50-95,precision,recall,f1,lr
26,0.013341536745429039,0.0002341292565688491,0.0,0.013575665652751923,0.6526311461815544,0.6526311461815544,0.6309889301672804,0.6307453467439594,0.6308671149431874,0.008323493733352076
27,0.013256627134978771,0.00023219037393573672,0.0,0.01348881796002388,0.6577203074018965,0.6577203074018965,0.639586068892738,0.6285157475763431,0.6340025871878957,0.008205248749256015
28,0.013173943385481834,0.00023119612887967378,0.0,0.013405139558017254,0.6588052150279984,0.6588052150279984,0.6485058088197866,0.6213675453128574,0.6346466932881071,0.008083889915582234
29,0.01306535117328167,0.00022973731392994523,0.0,0.013295088894665241,0.663018390912745,0.663018390912745,0.6444360322248507,0.6317197641579547,0.6380145424968992,0.007959536998847742
30,0.012902556918561459,0.0002284515358041972,0.0,0.013131008483469486,0.664890669661204,0.664890669661204,0.6530867216367658,0.6255264331367983,0.6390095487275017,0.007832312720368047
31,0.012807270511984825,0.00022724576410837471,0.0,0.013034516014158726,0.6659681703220551,0.6659681703220551,0.6485992844114263,0.6328099185680606,0.6406073241824024,0.007702342635146034
32,0.012642239220440388,0.00022564215760212392,0.0,0.0128678809851408,0.6673028622221464,0.6673028622221464,0.6491366830328181,0.6369056466663363,0.6429630025919504,0.007569755007964338
33,0.01259795855730772,0.00022479778272099793,0.0,0.012822756543755531,0.6668377213096434,0.6668377213096434,0.6403748828707974,0.64592313663314,0.6431370439713546,0.00743468068680349
34,0.01247615460306406,0.00022427063959185034,0.0,0.012700425460934639,0.666380908326057,0.666380908326057,0.6370343350902613,0.651951312160399,0.6444065091634951,0.007297252973710758
35,0.012273401021957397,0.00022200681269168854,0.0,0.012495407834649086,0.6683524909621206,0.6683524909621206,0.6424542855190483,0.6494079175543774,0.6459123870800286,0.007157607493247109
